"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=00000008&endsec=vg&freq=M&start=200101&end=202102&ctype=map&ltype=pin&rtype=s&pin=&maptype=0&rse=0"
"Sun Apr 25 2021 15:43:17 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.PRICE.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Atlantic",,"ELEC.PRICE.SAT-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland","cents per kilowatthour","ELEC.PRICE.MD-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland : all sectors","cents per kilowatthour","ELEC.PRICE.MD-ALL.M",5.93,6.07,5.92,6.19,6.71,7.47,7.58,7.71,7.32,6.16,5.88,5.86,5.53,5.61,5.55,5.72,6.38,7.21,7.17,7.12,6.83,5.82,5.89,5.07,7.37,5.82,5.89,5.78,6.09,6.69,7.26,7.28,7.14,6.19,5.83,5.77,6.30,6.33,6.32,6.36,7.04,7.73,8.19,8.35,7.79,7.18,7.16,7.02,7.33,7.42,7.42,7.36,7.90,8.71,8.86,8.99,8.84,8.06,8.04,8.16,8.66,8.66,8.69,8.79,9.11,10.91,10.74,10.89,11.11,10.82,10.25,10.31,10.17,10.18,10.38,10.46,10.69,12.40,12.62,12.69,12.28,12.12,11.66,11.94,12.10,12.15,12.11,12.28,12.37,13.47,14.12,13.73,14.01,13.75,12.63,13.00,13.17,13.43,13.27,12.86,13.15,13.21,13.54,13.42,13.02,12.77,12.62,12.45,12.74,12.91,12.69,12.63,12.42,13.14,13.27,12.94,12.79,12.17,12.04,12.30,12.13,12.34,12.16,12.09,12.11,12.22,12.02,12.05,11.84,11.47,11.16,11.42,11.32,11.31,11.16,11.10,11.07,11.40,11.46,11.53,11.42,11.31,10.88,11.25,11.22,11.27,11.19,11.16,11.15,11.97,12.02,12.22,12.10,11.87,11.62,11.91,12.10,12.63,12.31,12.05,11.76,11.79,11.81,11.69,14.42,11.55,11.44,11.69,12.00,12.11,12.19,12.03,11.70,12.28,12.07,12.17,11.90,12.19,12.00,12.20,12.33,12.24,12.25,12.17,12.24,12.34,12.15,11.99,12.03,12.40,12.11,12.35,12.45,12.57,12.13,12.12,12.14,11.99,11.69,11.89,11.59,11.88,11.60,11.84,11.84,12.04,11.30,11.53,11.31,11.71,11.53,11.30,11.38,11.79,11.37,11.73,11.68,11.80,11.63,11.58,11.34,11.17,10.82,10.80,10.75,11.32,10.94,11.19,11.54,11.52,11.44,11.28,11.23,11.00,10.72,10.81,10.99,11.26,11.13,11.23,11.24,11.29
"Maryland : residential","cents per kilowatthour","ELEC.PRICE.MD-RES.M",6.74,6.88,6.99,7.17,8.46,8.56,8.65,8.76,8.46,7.41,7.13,7.01,6.92,7.03,7.00,7.23,8.12,8.72,8.69,8.52,8.35,7.67,7.38,6.82,6.89,6.84,6.99,7.27,7.91,8.79,8.77,8.74,8.74,7.71,7.36,7.00,6.84,6.88,7.07,7.23,7.96,8.78,8.86,9.03,8.53,7.65,7.59,7.38,7.61,7.65,7.75,7.86,8.94,9.35,9.23,9.34,9.15,8.24,8.24,7.88,8.36,8.25,8.31,8.62,9.42,10.74,10.60,10.60,11.06,10.69,9.91,9.94,9.67,9.50,9.89,9.98,10.61,13.77,13.56,13.55,13.40,13.32,12.67,12.88,12.92,12.83,12.88,13.37,13.88,14.27,14.60,14.58,14.47,14.65,14.01,13.89,14.38,14.76,14.72,14.80,14.97,15.87,15.90,15.66,15.49,14.86,14.16,14.25,14.07,14.12,14.37,14.59,14.47,15.10,14.93,14.86,14.93,13.62,13.23,13.21,13.12,13.39,13.56,13.77,13.95,13.72,13.11,13.32,13.38,13.19,12.72,12.76,12.48,12.55,12.86,12.90,12.95,13.14,12.88,13.09,13.17,13.03,12.40,12.67,12.50,12.51,12.56,12.78,12.89,13.98,13.73,13.92,13.94,13.69,13.16,13.43,13.16,13.51,13.60,14.10,14.22,13.75,13.78,13.72,13.56,13.97,13.19,13.48,13.00,13.06,13.07,13.67,13.57,14.58,13.85,13.84,14.01,15.23,14.89,14.59,14.04,13.99,14.37,14.37,14.70,14.62,14.07,13.82,14.02,15.17,14.31,14.00,14.22,14.33,14.13,14.30,14.52,14.19,13.56,13.90,13.90,14.37,13.32,13.23,12.95,13.41,12.97,13.36,13.33,13.83,13.44,13.05,13.28,14.18,13.10,13.09,13.07,13.40,13.44,14.24,13.48,13.25,12.52,12.45,12.82,14.05,12.78,12.85,13.42,13.35,13.59,13.22,13.23,12.84,12.24,12.48,12.95,13.86,13.27,12.73,12.61,12.46
"Maryland : commercial","cents per kilowatthour","ELEC.PRICE.MD-COM.M",5.35,5.72,5.46,5.75,6.47,7.57,7.56,7.49,7.38,5.90,5.58,5.50,5.49,5.62,5.62,5.71,6.71,7.72,7.19,7.16,7.12,5.89,5.71,5.49,5.95,6.07,6.08,6.14,6.99,7.74,8.15,8.12,8.02,6.92,6.41,6.28,6.29,6.38,6.43,6.31,7.31,7.88,9.07,8.96,8.47,7.88,7.77,7.62,8.10,8.20,8.15,7.97,8.60,9.12,9.45,9.49,9.40,9.41,9.38,9.77,9.05,9.32,9.31,9.29,9.35,11.69,11.17,11.48,11.76,11.46,10.97,11.10,11.06,11.25,11.20,11.22,11.17,11.80,12.28,12.33,11.78,11.72,11.31,11.46,11.60,11.81,11.77,11.88,11.90,13.30,14.19,13.55,14.16,13.69,12.01,12.58,12.20,12.50,12.38,11.81,12.45,11.88,12.08,11.93,11.70,11.78,12.01,11.13,11.72,12.01,11.71,11.71,11.50,12.08,12.06,11.61,11.56,11.65,11.61,11.75,11.51,11.71,11.46,11.39,11.41,11.50,11.35,11.41,11.24,10.84,10.61,10.79,10.67,10.71,10.36,10.46,10.25,10.62,10.45,10.44,10.51,10.54,9.79,10.35,10.29,10.38,10.25,10.22,10.35,10.90,10.85,11.18,11.06,11.03,10.74,10.82,10.90,11.86,11.26,10.84,10.50,10.66,10.48,10.35,16.32,10.25,10.30,10.37,11.09,11.38,11.64,11.25,10.83,10.95,10.89,11.04,10.78,10.85,10.60,10.74,10.95,10.97,10.96,11.05,11.16,11.05,10.75,10.76,10.85,11.22,11.04,11.27,11.08,11.46,10.78,11.06,10.97,10.61,10.32,10.59,10.25,10.63,10.64,10.85,10.83,11.06,10.12,10.46,10.28,10.40,10.13,10.11,10.22,10.59,10.32,10.81,10.52,10.59,10.37,10.24,10.29,9.81,9.47,9.59,9.44,9.85,9.77,9.89,10.00,10.17,9.93,10.00,9.88,9.56,9.29,9.32,9.59,9.69,9.61,9.90,9.91,10.20
"Maryland : industrial","cents per kilowatthour","ELEC.PRICE.MD-IND.M",4.47,4.29,4.33,4.69,4.04,4.57,4.72,5.18,4.45,4.01,3.84,3.81,2.97,2.97,3.10,3.35,3.31,3.53,5.24,5.22,4.96,4.11,4.42,3.15,11.30,4.47,4.66,4.36,4.34,4.50,5.22,5.25,5.20,4.68,4.31,4.14,5.49,5.41,5.33,5.41,5.70,6.18,6.69,7.00,6.42,6.02,6.08,5.98,6.33,6.49,6.41,6.34,6.34,7.57,7.78,7.96,7.91,6.74,6.80,7.24,8.50,7.85,7.63,7.30,7.19,8.05,9.12,9.09,8.38,8.24,8.28,8.33,8.35,8.96,8.83,8.89,8.69,9.67,9.81,10.26,9.87,9.92,9.69,9.74,9.93,10.11,10.06,10.06,9.89,11.04,11.40,10.55,10.95,10.54,9.65,10.13,10.60,10.72,10.56,10.33,10.15,9.28,10.01,9.93,9.37,9.61,9.40,9.64,9.87,10.17,9.56,9.46,9.35,9.47,10.04,9.79,9.27,9.10,9.07,9.71,8.86,9.38,8.81,9.10,9.13,9.10,9.26,8.70,8.40,8.05,8.30,8.17,8.24,8.12,8.00,7.98,8.04,7.94,8.34,8.19,7.68,8.22,8.52,7.99,8.16,8.25,8.46,8.58,8.18,8.40,8.65,8.43,8.43,8.34,8.05,8.43,11.53,10.53,10.61,9.39,8.69,8.96,8.63,8.51,6.18,8.62,8.69,8.67,8.92,9.06,9.67,8.86,8.16,8.50,7.94,9.03,8.31,7.93,8.28,7.93,7.87,8.33,7.85,8.13,8.11,7.67,7.50,7.88,7.78,7.77,7.81,7.96,8.61,8.53,8.40,8.30,8.40,8.11,8.16,8.43,8.25,8.53,8.33,8.46,9.38,8.85,8.09,8.32,8.15,7.93,8.10,7.92,7.95,7.90,8.05,8.36,8.18,7.98,7.96,7.71,7.74,7.67,7.79,7.81,7.59,7.73,7.70,7.75,7.96,7.73,7.62,7.66,7.71,7.59,7.77,7.74,7.75,7.83,7.76,8.02,8.09,8.43
"Maryland : transportation","cents per kilowatthour","ELEC.PRICE.MD-TRA.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",3.77,4.63,3.62,4.94,5.28,5.62,7.15,7.30,7.59,8.42,5.89,6.48,5.43,8.08,5.40,6.36,6.14,7.00,7.65,7.17,5.85,6.81,6.27,5.94,6.43,6.89,7.02,9.55,8.04,6.74,9.04,9.71,8.40,8.11,8.18,5.69,7.26,7.82,7.80,7.72,7.79,8.02,7.98,8.23,9.84,9.49,9.30,9.41,9.21,9.74,9.57,9.69,9.41,9.88,10.09,11.11,10.88,11.05,10.80,10.75,10.99,10.14,10.22,10.39,10.47,11.12,11.76,11.70,15.72,14.89,11.22,12.79,11.34,9.69,12.77,10.76,13.59,8.15,10.88,9.12,7.70,10.30,11.15,10.17,9.13,11.44,10.18,10.54,9.77,10.33,10.60,9.02,9.72,8.85,8.74,10.07,9.43,9.33,8.73,8.26,9.58,9.92,9.99,9.06,8.96,8.57,8.08,8.18,6.97,7.77,7.73,7.97,8.64,8.43,8.81,8.69,8.71,8.73,8.67,8.51,8.52,8.58,8.54,8.64,8.59,8.55,8.29,8.32,8.23,8.16,8.57,8.58,10.01,9.37,8.84,7.93,7.55,8.04,8.75,8.58,8.15,8.15,8.39,8.01,8.97,9.16,8.39,7.90,8.75,8.74,8.74,7.75,7.71,7.71,7.88,7.95,7.69,7.91,7.82,7.83,7.89,7.61,8.13,7.89,7.86,8.01,7.89,7.66,8.14,8.12,8.55,7.48,8.39,8.33,8.30,7.56,6.81,6.99,6.90,7.02,6.77,7.17,6.82,7.16,7.58,7.96,7.59,7.66,7.51,7.73,7.62,7.61,7.46,7.40,7.50,7.64,7.62,7.32,7.15,7.50,7.22,6.30,7.49,7.29,7.18,6.97,8.96,7.82,8.30,7.83,7.64,7.74,7.84,7.84,7.91,7.93,7.61,7.74
"Maryland : other","cents per kilowatthour","ELEC.PRICE.MD-OTH.M",8.76,9.06,7.85,9.35,9.54,9.52,9.24,11.43,10.67,10.08,9.38,8.40,7.85,8.91,8.68,9.40,9.79,9.60,9.51,10.77,11.23,9.26,9.64,9.20,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
