"Retail sales of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=00000008&endsec=vg&linechart=ELEC.SALES.MD-ALL.M&columnchart=ELEC.SALES.MD-ALL.M&map=ELEC.SALES.MD-ALL.M&freq=M&start=200101&end=202102&ctype=map&ltype=pin&rtype=s&pin=&maptype=0&rse=0"
"Sun Apr 25 2021 15:42:29 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021"
"Retail sales of electricity","million kilowatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.SALES.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Atlantic",,"ELEC.SALES.SAT-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland","million kilowatthours","ELEC.SALES.MD-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland : all sectors","million kilowatthours","ELEC.SALES.MD-ALL.M",5921,4954,5367,4537,4717,5215,5563,6087,5073,4610,4580,5016,5576,5046,5557,4841,4781,5667,6739,6899,5820,5259,5157,7036,5300,6325,6146,5458,5336,5634,6790,6958,6297,5338,5268,6409,6368,5960,5524,5278,5137,5564,6099,6120,5496,4903,4748,5695,6227,5454,5696,4733,4808,5950,6783,6827,5823,4993,5010,6061,5342,5278,5223,4439,4718,5482,6385,6480,4931,4769,4775,5351,5603,5834,5245,4753,4881,5580,6136,6436,5456,5007,4816,5643,5750,5441,5124,4452,4559,5654,6294,5784,5224,4677,4823,5543,6138,5198,5180,4594,4660,5177,5775,6178,4897,4598,4544,5648,6129,5490,5057,4458,4885,5928,6677,6351,5341,4541,4561,5918,6247,5155,5023,4519,4787,5693,6660,6098,5192,4525,4559,5142,5588,5062,4708,4369,4757,5419,6518,6089,5046,4453,4672,5133,5745,5170,5168,4322,4684,5372,6259,5609,4821,4490,4684,5574,6278,5290,5377,4414,4611,5331,5805,5410,4818,4307,4770,5274,6090,5938,5313,4252,4857,5155,5973,5744,4933,4316,4528,4683,5704,5279,4797,4161,4409,5139,6242,6378,5207,4321,4392,5324,5360,4575,4931,4134,4368,5271,6118,5474,4737,4348,4496,5492,6217,4739,5231,4334,4684,5088,5964,6025,5162,4586,4757,5300,5796,4995,5033,4056,4627,5048,6281,5821,5009,4184,4616,5254,5229,4757,4318,3975,4177,4923,6341,5759,4589,3992,4161,5311,5535,5150
"Maryland : residential","million kilowatthours","ELEC.SALES.MD-RES.M",2782,2214,2119,1795,1582,2062,2225,2488,1824,1583,1638,1982,2240,2024,1976,1729,1601,2211,2667,2813,2110,1706,1833,2578,2838,2704,2431,1879,1643,1793,2559,2669,2286,1621,1734,2514,2953,2799,2281,2034,1943,2275,2507,2599,2227,1881,1877,2575,2832,2464,2439,1731,1673,2402,2913,3003,2428,1845,1971,2739,2539,2454,2353,1738,1697,2182,2903,2928,1981,1793,1919,2419,2622,2948,2389,1944,1806,2294,2750,2895,2278,1854,1869,2548,2751,2645,2332,1783,1642,2281,2750,2510,2105,1784,2021,2540,3037,2512,2306,1840,1712,2052,2466,2753,2018,1816,1828,2604,3061,2706,2243,1768,1879,2504,3167,2888,2255,1764,1866,2833,3129,2461,2201,1772,1727,2355,3094,2740,2114,1730,1740,2233,2644,2294,1940,1643,1767,2202,3063,2803,2126,1727,2093,2377,2785,2485,2377,1794,1821,2193,2856,2508,2056,1813,2085,2675,3278,2761,2557,1814,1767,2190,2552,2358,2017,1663,2082,2448,3312,3076,2550,1746,1923,2125,2748,2605,2048,1552,1687,2032,2914,2549,2113,1711,1676,2192,3014,2957,2275,1595,1787,2534,2605,2094,2234,1670,1696,2288,2858,2408,1951,1666,1933,2681,3233,2288,2443,1870,1865,2196,2773,2744,2249,1808,2106,2563,2972,2473,2363,1581,1829,2232,3007,2698,2152,1628,2040,2559,2561,2283,1963,1807,1877,2358,3255,2886,2074,1634,1870,2722,2942,2722
"Maryland : commercial","million kilowatthours","ELEC.SALES.MD-COM.M",2253,1911,2267,1909,2149,2186,2397,2596,2310,2125,2027,2114,1970,1744,2141,1808,1902,2103,1775,1762,1533,1411,1359,1536,1494,1341,1359,1273,1291,1427,1606,1650,1434,1337,1258,1481,1473,1302,1367,1428,1546,1560,1526,1516,1393,1400,1343,1409,1459,1302,1424,1264,1355,1623,1834,1844,1593,1418,1293,1523,2273,2264,2323,2160,2430,2694,2982,3059,2396,2441,2311,2395,2470,2383,2334,2288,2532,2732,2823,2951,2642,2602,2390,2545,2496,2297,2276,2171,2361,2826,2973,2734,2612,2375,2338,2544,2646,2248,2372,2261,2419,2637,2809,2910,2411,2287,2241,2566,2588,2347,2340,2227,2501,2908,2997,2966,2630,2352,2284,2631,2655,2313,2406,2300,2586,2837,3069,2868,2581,2351,2318,2466,2500,2311,2316,2238,2579,2715,3028,2904,2525,2345,2280,2367,2578,2351,2416,2188,2449,2770,3005,2722,2421,2302,2246,2519,2647,2222,2461,2252,2446,2734,2860,2660,2439,2289,2328,2466,2433,2501,2435,2142,2542,2666,2837,2760,2460,2421,2464,2296,2430,2373,2360,2103,2356,2585,2838,3002,2583,2374,2241,2431,2409,2165,2337,2103,2309,2616,2850,2682,2438,2335,2206,2444,2642,2150,2434,2119,2431,2529,2777,2891,2520,2408,2281,2366,2473,2187,2308,2122,2417,2456,2884,2740,2488,2247,2226,2348,2345,2149,2054,1867,1992,2241,2729,2544,2225,2065,1997,2252,2291,2127
"Maryland : industrial","million kilowatthours","ELEC.SALES.MD-IND.M",809,759,888,761,917,895,868,928,862,818,831,840,1273,1194,1351,1224,1197,1262,2209,2248,2113,2064,1894,2846,920,2242,2305,2271,2367,2379,2592,2604,2541,2341,2242,2371,1899,1826,1829,1777,1606,1692,2020,1969,1832,1584,1492,1668,1891,1646,1788,1698,1742,1884,1996,1945,1764,1696,1715,1752,496,520,501,502,552,564,464,458,512,496,500,494,464,455,473,477,501,509,523,548,495,514,513,509,454,453,471,454,516,505,525,498,464,476,421,414,405,393,453,445,484,441,454,469,426,453,435,428,430,391,424,416,459,467,468,453,410,385,372,408,413,341,363,400,427,451,449,449,453,401,460,401,397,413,409,445,365,457,383,336,352,341,257,345,333,288,331,294,367,365,351,334,303,332,311,334,303,262,311,301,349,363,346,346,320,311,317,320,294,304,289,319,343,324,343,331,382,306,332,317,304,318,278,302,326,322,342,377,310,308,322,312,302,272,305,329,319,321,365,341,306,307,316,316,299,258,311,305,346,319,366,345,350,326,325,321,303,288,316,313,333,311,338,327,308,288,299,294,273,268,272,269,273,289,310,300,262,258,260,269,264,263
"Maryland : transportation","million kilowatthours","ELEC.SALES.MD-TRA.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",48,38,52,35,34,34,33,36,36,39,33,43,43,32,47,40,42,37,46,35,43,38,36,43,46,42,45,40,37,41,39,36,38,35,31,46,34,40,45,39,39,43,35,36,43,40,46,43,47,48,49,45,42,45,41,43,41,38,44,42,48,45,44,44,42,42,46,42,43,43,43,46,51,45,49,48,45,47,46,46,42,42,41,51,50,46,49,47,45,49,45,45,45,41,39,46,50,40,53,47,47,50,47,42,44,43,41,43,48,44,44,44,46,45,44,46,42,41,42,44,50,45,44,45,47,44,48,44,42,43,42,46,51,46,48,46,49,44,46,45,42,43,43,40,51,57,39,44,49,41,44,47,43,37,46,37,56,40,46,45,52,41,48,42,39,44,42,46,45,44,54,33,44,45,45,43,43,41,42,51,43,43,43,41,42,43,47,45,43,43,46,50,48,47,46,41,48,50,52,57,61,22,50,53,51,57,29,33,35,34,47,28,28,35,35,68,38,39
"Maryland : other","million kilowatthours","ELEC.SALES.MD-OTH.M",76,70,93,71,68,71,74,77,78,83,84,80,93,84,89,81,81,90,88,76,64,79,71,76,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
