"Revenue from retail sales of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/6?agg=0,1&geo=00000008&endsec=vg&freq=M&start=200101&end=202102&ctype=map&ltype=pin&rtype=s&rse=0&maptype=0&pin="
"Sun Apr 25 2021 15:43:11 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021"
"Revenue from retail sales of electricity","million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.REV.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Atlantic",,"ELEC.REV.SAT-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland","million dollars","ELEC.REV.MD-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maryland : all sectors","million dollars","ELEC.REV.MD-ALL.M",351,301,318,281,317,390,421,469,371,284,270,294,308,283,308,277,305,408,483,491,397,306,304,357,390,368,362,315,325,377,493,506,450,330,307,370,401,377,349,336,362,430,499,511,428,352,340,400,456,405,423,348,380,518,601,614,515,402,403,494,463,457,454,390,430,598,686,706,548,516,489,552,570,594,544,497,522,692,775,817,670,607,562,674,696,661,620,547,564,762,889,794,732,643,609,720,808,698,687,591,613,684,782,829,638,587,573,703,781,709,642,563,607,779,886,822,683,553,549,728,758,636,611,546,580,695,800,735,615,519,509,587,633,572,525,485,526,618,747,702,576,504,508,577,645,583,578,482,522,643,753,685,583,533,544,664,760,668,662,532,542,629,685,632,695,497,545,617,731,719,648,511,568,633,721,699,587,526,543,571,703,646,588,506,540,634,759,765,626,536,532,657,667,575,598,501,530,632,715,651,549,517,521,650,736,571,591,500,530,596,687,681,587,541,541,622,677,589,585,470,525,564,680,628,539,474,505,588,603,548,494,449,469,542,680,623,504,450,463,596,622,581
"Maryland : residential","million dollars","ELEC.REV.MD-RES.M",187,152,148,129,134,176,192,218,154,117,117,139,155,142,138,125,130,193,232,240,176,131,135,176,196,185,170,137,130,158,224,233,200,125,128,176,202,193,161,147,155,200,222,235,190,144,142,190,216,188,189,136,150,225,269,280,222,152,162,216,212,202,196,150,160,234,308,310,219,192,190,241,253,280,236,194,192,316,373,392,305,247,237,328,356,339,300,238,228,325,402,366,305,261,283,353,437,371,339,272,256,326,392,431,312,270,259,371,431,382,322,258,272,378,473,429,337,240,247,374,410,330,298,244,241,323,406,365,283,228,221,285,330,288,249,212,229,289,395,367,280,225,259,301,348,311,299,229,235,307,392,349,287,248,275,359,431,373,348,256,251,301,352,324,273,232,275,330,430,402,333,239,261,310,381,361,287,236,251,296,409,357,304,246,246,320,424,409,319,242,256,355,370,300,316,239,246,325,387,335,271,239,258,355,419,307,317,250,249,304,373,358,299,256,276,335,389,331,318,225,247,296,376,336,276,229,261,329,344,305,267,239,248,303,398,360,269,226,248,347,371,339
"Maryland : commercial","million dollars","ELEC.REV.MD-COM.M",121,109,124,110,139,166,181,195,170,125,113,116,108,98,120,103,128,162,128,126,109,83,78,84,89,81,83,78,90,111,131,134,115,93,81,93,93,83,88,90,113,123,138,136,118,110,104,107,118,107,116,101,117,148,173,175,150,133,121,149,206,211,216,201,227,315,333,351,282,280,253,266,273,268,261,257,283,322,347,364,311,305,270,292,290,271,268,258,281,376,422,370,370,325,281,320,323,281,294,267,301,313,339,347,282,270,269,286,303,282,274,261,287,351,362,344,304,274,265,309,306,271,276,262,295,326,348,327,290,255,246,266,267,248,240,234,264,288,317,303,265,247,223,245,265,244,248,224,253,302,326,304,268,254,241,272,288,263,277,244,257,291,300,275,398,235,240,256,270,285,283,241,275,292,309,305,265,263,261,247,266,260,259,232,263,286,305,323,280,266,247,274,267,248,252,233,253,278,294,284,250,248,235,265,286,238,246,222,250,263,281,292,258,255,235,256,260,232,239,217,249,241,273,263,235,221,217,232,234,219,204,187,197,214,254,237,213,200,192,223,227,217
"Maryland : industrial","million dollars","ELEC.REV.MD-IND.M",36,33,38,36,37,41,41,48,38,33,32,32,38,35,42,41,40,45,116,117,105,85,84,90,104,100,107,99,103,107,135,137,132,110,97,98,104,99,97,96,92,105,135,138,118,95,91,100,120,107,115,108,110,143,155,155,140,114,117,127,42,41,38,37,40,45,42,42,43,41,41,41,39,41,42,42,44,49,51,56,49,51,50,50,45,46,47,46,51,56,60,52,51,50,41,42,43,42,48,46,49,41,45,47,40,44,41,41,42,40,41,39,43,44,47,44,38,35,34,40,37,32,32,36,39,41,42,39,38,32,38,33,33,33,33,35,29,36,32,28,27,28,22,28,27,24,28,25,30,31,30,28,26,28,25,28,35,28,33,28,30,33,30,29,20,27,28,28,26,28,28,28,28,28,27,30,32,24,27,25,24,26,22,25,26,25,26,30,24,24,25,25,26,23,26,27,27,26,30,29,25,26,26,27,28,23,25,25,28,25,30,27,28,26,26,27,25,23,25,24,26,24,26,26,23,22,23,23,22,21,21,21,21,22,24,23,20,20,20,22,21,22
"Maryland : transportation","million dollars","ELEC.REV.MD-TRA.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,2,2,2,2,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,4,4,3,3,3,3,2,3,4,3,3,3,3,3,4,4,4,4,4,5,5,4,4,4,4,5,4,4,5,4,5,5,5,5,4,5,5,5,7,6,5,6,6,4,6,5,6,4,5,4,3,4,5,5,5,5,5,5,4,5,5,4,4,4,3,5,5,4,5,4,5,5,5,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,3,4,4,3,5,5,3,4,4,4,4,4,3,3,4,3,4,3,4,4,4,3,4,3,3,3,3,4,4,4,5,2,4,4,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,1,4,4,4,4,3,3,3,3,4,2,2,3,3,5,3,3
"Maryland : other","million dollars","ELEC.REV.MD-OTH.M",7,6,7,7,7,7,7,9,8,8,8,7,7,7,8,8,8,9,8,8,7,7,7,7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
